neigh_name,neigh_number,year,week,min_temperature
RIO COMPRIDO,7,2016,21,17.3387788663973
RIO COMPRIDO,7,2016,22,19.3479639882296
RIO COMPRIDO,7,2016,23,15.2406492892899
RIO COMPRIDO,7,2016,24,13.6195186881473
RIO COMPRIDO,7,2016,25,16.2691159958172
RIO COMPRIDO,7,2016,26,16.7392887248388
RIO COMPRIDO,7,2016,27,15.6925622435583
RIO COMPRIDO,7,2016,28,16.982162409046
RIO COMPRIDO,7,2016,29,14.6374348173168
RIO COMPRIDO,7,2016,30,16.9003899492117
RIO COMPRIDO,7,2016,31,17.4225758697081
RIO COMPRIDO,7,2016,32,15.3611443280273
RIO COMPRIDO,7,2016,33,16.7012165625642
RIO COMPRIDO,7,2016,34,15.3468523390075
RIO COMPRIDO,7,2016,35,18.5796244773778
RIO COMPRIDO,7,2016,36,19.8470998776686
RIO COMPRIDO,7,2016,37,19.6407931062405
RIO COMPRIDO,7,2016,38,17.2645170431007
RIO COMPRIDO,7,2016,39,17.1487964370101
RIO COMPRIDO,7,2016,40,17.2379864421006
RIO COMPRIDO,7,2016,41,19.1820082106041
RIO COMPRIDO,7,2016,42,21.5796655578992
RIO COMPRIDO,7,2016,43,18.0911793884189
RIO COMPRIDO,7,2016,44,18.8336354135396
RIO COMPRIDO,7,2016,45,20.3460616942299
RIO COMPRIDO,7,2016,46,18.0380950964014
RIO COMPRIDO,7,2016,47,17.069109264163
RIO COMPRIDO,7,2016,48,19.7629479518309
RIO COMPRIDO,7,2016,49,20.0053432891012
RIO COMPRIDO,7,2016,50,18.8633146818752
RIO COMPRIDO,7,2016,51,20.9273012708942
RIO COMPRIDO,7,2016,52,24.5238736508232
CIDADE NOVA,8,2016,9,20.9317708462738
CIDADE NOVA,8,2016,10,21.9402552259924
CIDADE NOVA,8,2016,11,22.8222753813409
CIDADE NOVA,8,2016,12,22.3881999221242
CIDADE NOVA,8,2016,13,24.0623232099674
CIDADE NOVA,8,2016,14,24.620216204654
CIDADE NOVA,8,2016,15,24.3796716400426
CIDADE NOVA,8,2016,16,24.2157551450558
CIDADE NOVA,8,2016,17,18.7681681307994
CIDADE NOVA,8,2016,18,17.5460332724045
CIDADE NOVA,8,2016,19,18.6074682837608
CIDADE NOVA,8,2016,20,18.8374929083878
CIDADE NOVA,8,2016,21,17.4402793032032
CIDADE NOVA,8,2016,22,20.2221720253406
CIDADE NOVA,8,2016,23,15.67535372459
CIDADE NOVA,8,2016,24,13.9914721485836
CIDADE NOVA,8,2016,25,16.8541501135516
CIDADE NOVA,8,2016,26,17.3240676248997
CIDADE NOVA,8,2016,27,16.3226410969702
CIDADE NOVA,8,2016,28,17.5936457940511
CIDADE NOVA,8,2016,29,14.7049217611725
CIDADE NOVA,8,2016,30,17.3784759771115
CIDADE NOVA,8,2016,31,18.2180905814839
CIDADE NOVA,8,2016,32,15.8678267341403
CIDADE NOVA,8,2016,33,17.3807832012128
CIDADE NOVA,8,2016,34,15.761574963689
CIDADE NOVA,8,2016,35,18.9857754200641
CIDADE NOVA,8,2016,36,20.3168766783208
CIDADE NOVA,8,2016,37,19.9004856281303
CIDADE NOVA,8,2016,38,18.0982260121527
CIDADE NOVA,8,2016,39,17.6696591515302
CIDADE NOVA,8,2016,40,17.5224144138551
CIDADE NOVA,8,2016,41,19.646279152487
CIDADE NOVA,8,2016,42,21.6148576314799
CIDADE NOVA,8,2016,43,18.5953730523555
CIDADE NOVA,8,2016,44,19.4046540446
CIDADE NOVA,8,2016,45,20.9359844740285
CIDADE NOVA,8,2016,46,18.6183040252137
CIDADE NOVA,8,2016,47,17.932938445095
CIDADE NOVA,8,2016,48,19.7590835705728
CIDADE NOVA,8,2016,49,20.7952621318539
CIDADE NOVA,8,2016,50,19.3078668205771
CIDADE NOVA,8,2016,51,21.5180004414868
CIDADE NOVA,8,2016,52,25.1753561502166
ESTACIO,9,2016,9,20.9118674005849
ESTACIO,9,2016,10,21.9240075412679
ESTACIO,9,2016,11,22.4540989521871
ESTACIO,9,2016,12,22.1798651019424
ESTACIO,9,2016,13,23.8409485558648
ESTACIO,9,2016,14,24.1044677876311
ESTACIO,9,2016,15,24.0337889091755
ESTACIO,9,2016,16,23.928416853444
ESTACIO,9,2016,17,18.7010139861598
ESTACIO,9,2016,18,17.3397578910322
ESTACIO,9,2016,19,18.5082870987819
ESTACIO,9,2016,20,18.5766118927376
ESTACIO,9,2016,21,17.3975931579638
ESTACIO,9,2016,22,19.9026805202171
ESTACIO,9,2016,23,15.4928587260002
ESTACIO,9,2016,24,13.8335219186506
ESTACIO,9,2016,25,16.6178006812643
ESTACIO,9,2016,26,17.0807683067649
ESTACIO,9,2016,27,16.0604852350911
ESTACIO,9,2016,28,17.3206567590364
ESTACIO,9,2016,29,14.677414201057
ESTACIO,9,2016,30,17.1621246545971
ESTACIO,9,2016,31,17.8887560644918
ESTACIO,9,2016,32,15.6732340609915
ESTACIO,9,2016,33,17.0818765672102
ESTACIO,9,2016,34,15.6330940757372
ESTACIO,9,2016,35,18.8279954990874
ESTACIO,9,2016,36,20.1577996254184
ESTACIO,9,2016,37,19.8200190444514
ESTACIO,9,2016,38,17.770140087337
ESTACIO,9,2016,39,17.4731977589479
ESTACIO,9,2016,40,17.3933249725334
ESTACIO,9,2016,41,19.4885571888187
ESTACIO,9,2016,42,21.6012271353089
ESTACIO,9,2016,43,18.4118784052519
ESTACIO,9,2016,44,19.2098976577494
ESTACIO,9,2016,45,20.7018207022607
ESTACIO,9,2016,46,18.3502813606431
ESTACIO,9,2016,47,17.5629624137036
ESTACIO,9,2016,48,19.7603824101312
ESTACIO,9,2016,49,20.4956810977318
ESTACIO,9,2016,50,19.1333863458021
ESTACIO,9,2016,51,21.2802839912444
ESTACIO,9,2016,52,24.9137620252814
